supplier,scenario,rts,peer_supplier,lambda_value,perturbed_parameter,perturbation_direction,delta
L,delivery_reliability_led,CCR,H,0.15657544178358834,price,plus,0.05
L,delivery_reliability_led,CCR,I,0.21194384925892337,price,plus,0.05
L,product_quality_led,CCR,A,0.18199174068443513,price,plus,0.05
L,product_quality_led,CCR,B,0.9290192831846186,price,plus,0.05
L,product_quality_led,CCR,H,0.07026339209745217,price,plus,0.05
A,balanced_improvement,CCR,A,1.0,late_pct,minus,0.05
A,cost_led_development,CCR,A,1.0,late_pct,minus,0.05
A,delivery_reliability_led,CCR,A,1.0,late_pct,minus,0.05
A,product_quality_led,CCR,A,1.0,late_pct,minus,0.05
B,balanced_improvement,CCR,B,1.0,late_pct,minus,0.05
B,cost_led_development,CCR,B,1.0,late_pct,minus,0.05
B,delivery_reliability_led,CCR,B,1.0,late_pct,minus,0.05
B,product_quality_led,CCR,B,1.0,late_pct,minus,0.05
G,balanced_improvement,CCR,G,1.0,late_pct,minus,0.05
G,cost_led_development,CCR,G,1.0,late_pct,minus,0.05
G,delivery_reliability_led,CCR,G,1.0,late_pct,minus,0.05
G,product_quality_led,CCR,G,1.0,late_pct,minus,0.05
H,balanced_improvement,CCR,H,1.0,late_pct,minus,0.05
H,cost_led_development,CCR,H,1.0,late_pct,minus,0.05
H,delivery_reliability_led,CCR,H,1.0,late_pct,minus,0.05
H,product_quality_led,CCR,H,1.0,late_pct,minus,0.05
I,balanced_improvement,CCR,I,1.0,late_pct,minus,0.05
I,cost_led_development,CCR,I,1.0,late_pct,minus,0.05
I,delivery_reliability_led,CCR,I,1.0,late_pct,minus,0.05
I,product_quality_led,CCR,I,1.0,late_pct,minus,0.05
D,balanced_improvement,CCR,A,0.000043157544724848236,late_pct,minus,0.05
D,balanced_improvement,CCR,B,0.44074152196886757,late_pct,minus,0.05
D,balanced_improvement,CCR,H,0.16304805536373698,late_pct,minus,0.05
D,balanced_improvement,CCR,I,0.15743465599041154,late_pct,minus,0.05
D,cost_led_development,CCR,A,0.000041782445630542274,late_pct,minus,0.05
D,cost_led_development,CCR,B,0.5994189842246644,late_pct,minus,0.05
D,cost_led_development,CCR,H,0.06951320442911149,late_pct,minus,0.05
D,cost_led_development,CCR,I,0.11854739257728247,late_pct,minus,0.05
D,delivery_reliability_led,CCR,A,0.00006232578343404912,late_pct,minus,0.05
D,delivery_reliability_led,CCR,B,0.2216500646764527,late_pct,minus,0.05
D,delivery_reliability_led,CCR,H,0.25012380703004866,late_pct,minus,0.05
D,delivery_reliability_led,CCR,I,0.2688456019347844,late_pct,minus,0.05
D,product_quality_led,CCR,A,0.000022759601669536022,late_pct,minus,0.05
D,product_quality_led,CCR,B,0.44456720120605786,late_pct,minus,0.05
D,product_quality_led,CCR,H,0.21614499382736407,late_pct,minus,0.05
D,product_quality_led,CCR,I,0.1910380456267733,late_pct,minus,0.05
E,balanced_improvement,CCR,B,0.08947692042067179,late_pct,minus,0.05
E,balanced_improvement,CCR,H,0.4573344416826752,late_pct,minus,0.05
E,cost_led_development,CCR,B,0.25079724848031626,late_pct,minus,0.05
E,cost_led_development,CCR,H,0.3280721091966575,late_pct,minus,0.05
E,delivery_reliability_led,CCR,H,0.5052028720412686,late_pct,minus,0.05
E,product_quality_led,CCR,H,0.614503677988027,late_pct,minus,0.05
C,balanced_improvement,CCR,A,0.16518360140630364,late_pct,minus,0.05
C,balanced_improvement,CCR,B,0.5094819168628435,late_pct,minus,0.05
C,balanced_improvement,CCR,H,0.13105014971664888,late_pct,minus,0.05
C,cost_led_development,CCR,A,0.21850980772075057,late_pct,minus,0.05
C,cost_led_development,CCR,B,0.6389969079761619,late_pct,minus,0.05
C,cost_led_development,CCR,H,0.00004938625896998722,late_pct,minus,0.05
C,cost_led_development,CCR,I,0.04720272214751802,late_pct,minus,0.05
C,delivery_reliability_led,CCR,A,0.15550236096219364,late_pct,minus,0.05
C,delivery_reliability_led,CCR,B,0.2286002106186163,late_pct,minus,0.05
C,delivery_reliability_led,CCR,H,0.2535177219909961,late_pct,minus,0.05
C,delivery_reliability_led,CCR,I,0.07975657021735995,late_pct,minus,0.05
C,product_quality_led,CCR,A,0.05537560226701194,late_pct,minus,0.05
C,product_quality_led,CCR,B,0.6684458388985544,late_pct,minus,0.05
C,product_quality_led,CCR,H,0.21435974214672265,late_pct,minus,0.05
K,balanced_improvement,CCR,A,0.02172110430230204,late_pct,minus,0.05
K,balanced_improvement,CCR,B,0.35458372113565206,late_pct,minus,0.05
K,balanced_improvement,CCR,H,0.03590860443851613,late_pct,minus,0.05
K,balanced_improvement,CCR,I,0.215316619528214,late_pct,minus,0.05
K,cost_led_development,CCR,A,0.10370591447725798,late_pct,minus,0.05
